CHISQcheck_ratioPRF

Command line: -o HiQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 500 -q 500

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.352   0.13988       6.50317        0.989232
    0.354   0.14046       6.54033        0.989454
    0.356   0.144292      6.57749        0.989672
    0.358   0.175474      6.61465        0.989886
    0.36    0.178398      6.65181        0.990094
    0.362   0.190269      6.68897        0.990299
    0.364   0.196767      6.72613        0.990499
    0.366   0.209854      6.76329        0.990695
    0.368   0.209973      6.80046        0.990887
    0.37    0.220535      6.83762        0.991074
    0.372   0.222911      6.87478        0.991258
    0.374   0.232938      6.91194        0.991438
    0.376   0.239524      6.9491         0.991614
    0.378   0.243772      6.98626        0.991786
    0.38    0.245922      7.02342        0.991955
    0.382   0.246433      7.06058        0.99212
    0.384   0.267063      7.09774        0.992282
    0.386   0.272341      7.1349         0.99244
    0.388   0.27579       7.17206        0.992595
    0.39    0.315228      7.20923        0.992747
    0.392   0.333315      7.24639        0.992896
    0.394   0.337585      7.28355        0.993041
    0.396   0.350602      7.32071        0.993184
    0.398   0.360595      7.35787        0.993323
    0.4     0.363181      7.39503        0.99346
    0.402   0.366614      7.43219        0.993593
    0.404   0.377521      7.46935        0.993724
    0.406   0.395261      7.50651        0.993852
    0.408   0.407245      7.54367        0.993978
    0.41    0.410971      7.58084        0.994101
    0.412   0.424864      7.618          0.994221
    0.414   0.42556       7.65516        0.994339
    0.416   0.43009       7.69232        0.994454
    0.418   0.43308       7.72948        0.994567
    0.42    0.43786       7.76664        0.994678
    0.422   0.446794      7.8038         0.994786
    0.424   0.456703      7.84096        0.994892
    0.426   0.457205      7.87812        0.994996
    0.428   0.458944      7.91528        0.995098
    0.43    0.459509      7.95245        0.995198
    0.432   0.466019      7.98961        0.995295
    0.434   0.466495      8.02677        0.995391
    0.436   0.478291      8.06393        0.995484
    0.438   0.509789      8.10109        0.995576
    0.44    0.522568      8.13825        0.995666
    0.442   0.534858      8.17541        0.995754
    0.444   0.577068      8.21257        0.99584
    0.446   0.577861      8.24973        0.995924
    0.448   0.593974      8.28689        0.996007
    0.45    0.594366      8.32405        0.996088
    0.452   0.596581      8.36122        0.996167
    0.454   0.603923      8.39838        0.996244
    0.456   0.605038      8.43554        0.99632
    0.458   0.627794      8.4727         0.996395
    0.46    0.645426      8.50986        0.996468
    0.462   0.649797      8.54702        0.996539
    0.464   0.665278      8.58418        0.996609
    0.466   0.671739      8.62134        0.996678
    0.468   0.687727      8.6585         0.996745
    0.47    0.711133      8.69566        0.99681
    0.472   0.71844       8.73283        0.996875
    0.474   0.720921      8.76999        0.996938
    0.476   0.724627      8.80715        0.996999
    0.478   0.748284      8.84431        0.99706
    0.48    0.752712      8.88147        0.997119
    0.482   0.780705      8.91863        0.997177
    0.484   0.781596      8.95579        0.997234
    0.486   0.804037      8.99295        0.99729
    0.488   0.805146      9.03011        0.997344
    0.49    0.809992      9.06727        0.997398
    0.492   0.821382      9.10443        0.99745
    0.494   0.821609      9.1416         0.997501
    0.496   0.826682      9.17876        0.997552
    0.498   0.833772      9.21592        0.997601
    0.5     0.858056      9.25308        0.997649
    0.502   0.871466      9.29024        0.997696
    0.504   0.889136      9.3274         0.997742
    0.506   0.909353      9.36456        0.997788
    0.508   0.925518      9.40172        0.997832
    0.51    0.931149      9.43888        0.997876
    0.512   0.938884      9.47604        0.997918
    0.514   0.957755      9.51321        0.99796
    0.516   0.96902       9.55037        0.998001
    0.518   0.992167      9.58753        0.998041
    0.52    0.993157      9.62469        0.99808
    0.522   1.00288       9.66185        0.998119
    0.524   1.0475        9.69901        0.998156
    0.526   1.06098       9.73617        0.998193
    0.528   1.08258       9.77333        0.998229
    0.53    1.08452       9.81049        0.998265
    0.532   1.09885       9.84765        0.9983
    0.534   1.10857       9.88481        0.998334
    0.536   1.11161       9.92198        0.998367
    0.538   1.11828       9.95914        0.998399
    0.54    1.16339       9.9963         0.998431
    0.542   1.16748      10.0335         0.998463
    0.544   1.16765      10.0706         0.998493
    0.546   1.17072      10.1078         0.998524
    0.548   1.18738      10.1449         0.998553
    0.55    1.20286      10.1821         0.998582
    0.552   1.21733      10.2193         0.99861
