CHISQcheck_ratioPRF

Command line: -o LowQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 50 -q 50

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.352   0.00539315   15.5411         0.999919
    0.354   0.00552919   15.6299         0.999923
    0.356   0.00686013   15.7187         0.999927
    0.358   0.00708634   15.8075         0.99993
    0.36    0.00720401   15.8963         0.999933
    0.362   0.00786483   15.9851         0.999936
    0.364   0.00815943   16.0739         0.999939
    0.366   0.00835956   16.1627         0.999942
    0.368   0.00847828   16.2515         0.999945
    0.37    0.00884974   16.3403         0.999947
    0.372   0.0101098    16.4292         0.999949
    0.374   0.0103903    16.518          0.999952
    0.376   0.0106496    16.6068         0.999954
    0.378   0.0107332    16.6956         0.999956
    0.38    0.0109211    16.7844         0.999958
    0.382   0.0112007    16.8732         0.99996
    0.384   0.0121035    16.962          0.999962
    0.386   0.0124466    17.0508         0.999964
    0.388   0.0124835    17.1396         0.999965
    0.39    0.0125933    17.2284         0.999967
    0.392   0.0130715    17.3172         0.999968
    0.394   0.0132779    17.406          0.99997
    0.396   0.0133055    17.4948         0.999971
    0.398   0.0137643    17.5836         0.999973
    0.4     0.0138423    17.6724         0.999974
    0.402   0.0141608    17.7612         0.999975
    0.404   0.0145674    17.85           0.999976
    0.406   0.0147258    17.9389         0.999977
    0.408   0.0151011    18.0277         0.999978
    0.41    0.0163393    18.1165         0.999979
    0.412   0.0171313    18.2053         0.99998
    0.414   0.0171751    18.2941         0.999981
    0.416   0.0174576    18.3829         0.999982
    0.418   0.0177545    18.4717         0.999983
    0.42    0.0188931    18.5605         0.999984
    0.422   0.0199471    18.6493         0.999984
    0.424   0.0208345    18.7381         0.999985
    0.426   0.0239444    18.8269         0.999986
    0.428   0.0243197    18.9157         0.999986
    0.43    0.0245757    19.0045         0.999987
    0.432   0.0248897    19.0933         0.999988
    0.434   0.0315066    19.1821         0.999988
    0.436   0.032378     19.2709         0.999989
    0.438   0.0326102    19.3598         0.999989
    0.44    0.0330914    19.4486         0.99999
    0.442   0.0331177    19.5374         0.99999
    0.444   0.0332703    19.6262         0.999991
    0.446   0.0337943    19.715          0.999991
    0.448   0.0350409    19.8038         0.999991
    0.45    0.0351878    19.8926         0.999992
    0.452   0.0360002    19.9814         0.999992
    0.454   0.0378296    20.0702         0.999993
    0.456   0.0410159    20.159          0.999993
    0.458   0.0410427    20.2478         0.999993
    0.46    0.0484862    20.3366         0.999994
    0.462   0.050393     20.4254         0.999994
    0.464   0.05324      20.5142         0.999994
    0.466   0.0558658    20.603          0.999994
    0.468   0.0560275    20.6918         0.999995
    0.47    0.0572444    20.7807         0.999995
    0.472   0.0591319    20.8695         0.999995
    0.474   0.059838     20.9583         0.999995
    0.476   0.0618971    21.0471         0.999996
    0.478   0.0626497    21.1359         0.999996
    0.48    0.0626999    21.2247         0.999996
    0.482   0.0639178    21.3135         0.999996
    0.484   0.0753825    21.4023         0.999996
    0.486   0.0766511    21.4911         0.999996
    0.488   0.0779739    21.5799         0.999997
    0.49    0.0831151    21.6687         0.999997
    0.492   0.0887149    21.7575         0.999997
    0.494   0.0906646    21.8463         0.999997
    0.496   0.0951825    21.9351         0.999997
    0.498   0.103865     22.0239         0.999997
    0.5     0.106537     22.1127         0.999997
    0.502   0.109173     22.2016         0.999998
    0.504   0.110668     22.2904         0.999998
    0.506   0.112959     22.3792         0.999998
    0.508   0.124523     22.468          0.999998
    0.51    0.147432     22.5568         0.999998
    0.512   0.159569     22.6456         0.999998
    0.514   0.168772     22.7344         0.999998
    0.516   0.185853     22.8232         0.999998
    0.518   0.18675      22.912          0.999998
    0.52    0.203117     23.0008         0.999998
    0.522   0.212873     23.0896         0.999998
    0.524   0.252478     23.1784         0.999999
    0.526   0.270446     23.2672         0.999999
    0.528   0.329327     23.356          0.999999
    0.53    0.330331     23.4448         0.999999
    0.532   0.421242     23.5336         0.999999
    0.534   0.423576     23.6225         0.999999
    0.536   0.426569     23.7113         0.999999
    0.538   0.466282     23.8001         0.999999
    0.54    0.479791     23.8889         0.999999
