0.3	0.31624294281460485 0.36568702047785484 0.21576045339286962 0.3864016044593203 0.29805867029537203 0.6025829145311685 0.47108560599039495 0.4407053520913774 0.1957703384279101 0.04323897328280717 0.10957482143785613 0.42732251532125076 0.31375581080214293 0.4093208631044275 0.5264405828971312 0.1553095707686396 0.23528077880254294 0.520169130227898 0.30602381038750315 0.3571685732824791 0.39307681797854266 0.4689742886834413 0.16701316783141912 0.34445254144430015 0.47245583582321565 0.1590410384945345 0.09559622390115843 0.26882100912152174 0.3672508439453036 -0.4092460363774758 0.4200729038783896 0.13364679972149854 0.5110087384696864 0.5312871901817222 0.06484193180898089 0.54804999118543 0.5206119365529835 -0.29688236781199706 0.5181475237565807 0.3340678970530965 -0.045925749243078934 0.3421651965808967 0.2860388126507951 0.4274405561400264 0.13483112553972784 0.19699371442695227 0.2816784592662102 0.4969097564372278 0.47243822907642885 0.24689486191615528 
0.5	1.411624352964021 0.010096984318477652 1.2118389208789995 1.2081671752946992 0.8833681407958025 1.2018661349853748 0.01 0.3515682513612825 1.184609026918452 0.639088539381065 0.6383598107711348 0.01 1.4324996825600325 0.010054044464031697 0.01 1.0160037265116295 0.010015347450766338 0.01 0.01 0.010114659401764696 0.01 0.6046508770251782 0.5095468463664505 0.01 0.7546324586246533 1.5316166837048915 0.7148206632034534 0.01 0.01 2.0818999584571753 1.9261616610222954 1.0282830236495788 1.8459051301341671 1.050168444848532 1.655515710592135 0.01 2.22910681276584 1.9584843721016196 0.3739280679017899 0.4703122017066933 1.067042351411171 0.01 0.9493550514908816 1.1461265131702487 0.49200641687059143 0.9047179550386901 1.2348135560212392 0.01 1.211615685255107 1.19137260608021 

1.0	1.2983919498479475 0.9298543396196288 0.9870577516496997 1.0592878800990793 1.0851911653006932 1.2223210626900642 1.0435899668184585 1.0693486782249555 1.0895656890533896 1.0353489552179322 1.070537999463607 0.9915547807033513 1.1359440774691074 1.0222548972215613 1.081058196168156 1.0682075929029846 1.1646303433758098 0.9431212940970244 0.9522736866244363 0.9518454643143923 1.0141741502545196 1.1006088576519253 1.1333652793309215 0.9235370741520015 1.0537599451254 0.9936332744286162 0.8970754898771593 1.0962283649300184 1.078350325696499 1.1339110134719708 0.9645554696629552 1.0186076253153642 1.0174084833006356 1.0612016129011126 1.030491037967782 1.0707427585292728 0.9990697364929249 0.9759801464312006 1.350017271437825 1.0353490429475152 0.9545464992640038 1.0373937641809428 1.0533784103625936 1.3600080632408742 0.8214774426691043 1.0725216370123212 1.0477130516723085 1.1828115947013296 0.976290240948086 1.0082586094124477 
0.7	1.445187502713014 0.01 0.5663268652486733 0.523690419151612 0.7193538572734354 0.9048141372633468 0.4813999832343585 0.8776520509209873 0.9076510410615237 0.6270429485367678 0.5964970607797422 0.5159477693563773 0.9455311891266686 0.7742042987352648 0.6033060219885144 0.8425320553008604 1.2077493837817814 1.0385774315783802 0.5504281666400059 0.5464519126900604 0.516347512675844 1.0361873566054327 0.7502501705376754 0.01 0.6463476509287951 0.4813789522523624 0.01 0.7037395438870715 1.1017524723366305 1.0104071122048164 0.01 0.18601524578006 1.2088089450426471 0.7836556735666338 0.30596407729039804 0.9196380941119005 0.2328896529680723 0.9808870855494102 1.2523734669719762 0.48234307617613337 0.2686490260271269 0.23626803429217358 0.6304752673244824 1.8370108553892077 0.010040086281464805 0.6229182418677922 0.010082626380604424 0.7354137502457911 0.36238255595642116 0.6633799132091335 

2.0	1.8812137206506974 1.9858997352545429 2.00253511451806 2.1012430134031987 1.7934253215091234 2.0161981221802487 1.9978454898407887 1.9202381636270895 1.9478096313485924 1.8176672150220181 1.8951732375442 1.8492090480405077 1.885263816363757 1.9845823029802214 1.8851017625575341 1.9250254580433814 2.108915609572774 1.9339856472003478 1.7126322568284573 1.6341843158646534 2.3768908573404572 2.183479803215627 1.851244777500455 1.9829391276638653 1.9237307322333546 1.813959731051074 1.8919103058350468 2.0800895852321775 1.5877106675719639 1.8909006163044513 1.9614844383866616 1.7073007976082122 2.118796029194785 1.984219474141812 1.9270366019339877 1.9642261847332638 2.193403706619867 1.793593463563992 2.0327133439888243 1.684252683536485 1.7411342707077835 2.1165985102903715 1.9019300439340028 1.7340492672061913 1.9105909226640003 1.7207112103241484 1.8342727142811839 1.9566189955024753 1.7989789526054647 2.268936498105691 
1.0	0.8313966249890201 0.7751013541051613 0.9251772608803213 1.1311599022013537 0.6794261231164015 0.9736412343422691 0.9217000394822269 0.8044490367811061 0.8488749089953453 0.619779529643486 0.6855143847289158 0.6522044960874069 0.646378120586182 0.8848498540703621 0.7798595375333994 0.7902329820604259 0.9992965239824715 0.788891825981686 0.5309700348610362 0.4280527071147683 1.33037202939416 1.037189872180445 0.7810251762806766 0.7965286578316508 0.9173765703989263 0.6960698681082675 0.7382889932876533 0.8489068645593674 0.5465545995591945 0.6838568712828832 0.7912683813117469 0.6658670199756085 1.1161971205101435 0.7721077317826712 0.9608843742634154 0.9507143578393478 1.0521761825884641 0.6902291095658439 0.9029332662194574 0.7788879145105922 0.6957720899627884 0.9649526642359475 0.6461071343198865 0.6404482399609033 0.7684151630481479 0.5925365426263756 0.806495611885689 0.9524787102794892 0.7314121331001306 1.2843348257698461 

3.0	2.599314245122125 2.7276743609493836 3.2895373889859085 2.5794927216333283 2.8651881621652855 2.8178298186894852 2.2118664646264223 2.728336734711415 2.3339592238424918 2.1014555096306635 2.113004890412266 2.467781351048707 2.4870609684167295 1.9982419891276724 2.454014734116676 3.1456214360529176 3.13587151621078 2.6876563627921675 3.333674756251768 2.542414650464849 2.6909080741188145 2.325105282820725 2.3330779857225936 2.9734282093221065 2.748808859061036 2.5881012574252953 2.46628709124731 3.045309191259504 2.4669906222925206 2.717240795323524 2.786959582494349 3.276893089375344 2.739574838119971 2.0848122415428065 2.5928245717631366 2.7737291517579807 1.951262122092397 2.1318493099741262 3.292666299177028 3.0928767448762473 2.8756866073178227 2.6910008444926516 2.11866021713493 2.4307617157609935 2.865506667617895 3.028894208797753 2.8664086464337606 2.982787562534921 2.7840777890633586 2.643029600584251 
